Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
USA,Pascagoula,Port of Pascagoula,30.351389,-88.539444,USPGL,Seaport,Medium,"[30.351389, -88.539444]","Port of Pascagoula, Seaport - Medium"
USA,Paulsboro,Port of Paulsboro,39.847222,-75.247778,USPAU,Seaport,Small,"[39.847222, -75.247778]","Port of Paulsboro, Seaport - Small"
USA,Penns Grove,Deepwater Point,39.690278,-75.503611,USPGP,Seaport,Small,"[39.690278, -75.503611]","Deepwater Point, Seaport - Small"
USA,Pensacola,Port of Pensacola,30.405,-87.210833,USPNS,Seaport,Medium,"[30.405, -87.210833]","Port of Pensacola, Seaport - Medium"
USA,Perth Amboy,Port of Perth Amboy,40.503611,-74.273333,USPAY,Seaport,Large,"[40.503611, -74.273333]","Port of Perth Amboy, Seaport - Large"
USA,Piney Point,Port of Piney Point,38.133889,-76.531111,USPYP,"Pier, Jetty or Wharf",Small,"[38.133889, -76.531111]","Port of Piney Point, Pier, Jetty or Wharf - Small"
USA,Pittsburg,Port of Pittsburg,38.038333,-121.879722,,Seaport,Small,"[38.038333, -121.879722]","Port of Pittsburg, Seaport - Small"
USA,Point Arena,Point Arena Cove,38.914444,-123.710556,,"Pier, Jetty or Wharf",Very Small,"[38.914444, -123.710556]","Point Arena Cove, Pier, Jetty or Wharf - Very Small"
USA,Point Comfort,Point Comfort,28.650833,-96.558889,USPCR,Seaport,Medium,"[28.650833, -96.558889]","Point Comfort, Seaport - Medium"
USA,Port Alexander,Port of Port Alexander,56.248889,-134.648056,,"Pier, Jetty or Wharf",Very Small,"[56.248889, -134.648056]","Port of Port Alexander, Pier, Jetty or Wharf - Very Small"
USA,Port Arthur,Port of Port Arthur,29.843056,-93.961111,USPOA,Seaport,Medium,"[29.843056, -93.961111]","Port of Port Arthur, Seaport - Medium"
USA,Port Everglades,Port Everglades,26.084444,-80.113611,USPVS,Seaport,Medium,"[26.084444, -80.113611]","Port Everglades, Seaport - Medium"
